,id,score,word_sent,total_time,date,attempts,time_find_word,length,vowels,win
0,62d23002373d811b82ed9a6c,0.3333333333333333,autodesignacion,2.522897306000232,2022-07-16T03:26:59.092785,1,1.436147960001108,15,8,True
1,62d23002373d811b82ed9a6c,1.0,ecuatorialvalle,2.522897306000232,2022-07-16T03:26:59.732710,2,1.436147960001108,15,8,True
0,62d22fa7373d811b82ed9a39,0.6428571428571429,controvertidas,2.4793100170027174,2022-07-16T03:25:28.075858,1,1.386960650001129,14,5,True
1,62d22fa7373d811b82ed9a39,1.0,descontroladas,2.4793100170027174,2022-07-16T03:25:28.694332,2,1.386960650001129,14,5,True
0,62d22ea7373d811b82ed99af,0.25,parecido,3.28844449099779,2022-07-16T03:21:12.011209,1,2.253101398000581,8,4,True
1,62d22ea7373d811b82ed99af,0.25,lagunera,3.28844449099779,2022-07-16T03:21:12.893455,2,2.253101398000581,8,4,True
2,62d22ea7373d811b82ed99af,1.0,rathenau,3.28844449099779,2022-07-16T03:21:13.548787,3,2.253101398000581,8,4,True
0,62d22ec2373d811b82ed99c2,0.4,caras,2.6286255269988037,2022-07-16T03:21:39.728828,1,1.5355001660027483,5,2,True
1,62d22ec2373d811b82ed99c2,1.0,pacis,2.6286255269988037,2022-07-16T03:21:40.471242,2,1.5355001660027483,5,2,True
0,62d22d09373d811b82ed998a,0.4285714285714285,antirio,5.625712695000402,2022-07-16T03:14:17.705796,1,2.189308422999602,7,4,True
1,62d22d09373d811b82ed998a,0.5714285714285714,materia,5.625712695000402,2022-07-16T03:14:18.406203,2,2.189308422999602,7,4,True
2,62d22d09373d811b82ed998a,1.0,estaria,5.625712695000402,2022-07-16T03:14:19.106376,3,2.189308422999602,7,4,True
0,62d22ecf373d811b82ed99cb,0.0,cartas,3.84137240400014,2022-07-16T03:21:52.191415,1,2.76433908800027,6,2,True
1,62d22ecf373d811b82ed99cb,0.3333333333333333,vellon,3.84137240400014,2022-07-16T03:21:52.931310,2,2.76433908800027,6,2,True
2,62d22ecf373d811b82ed99cb,0.1666666666666666,kidney,3.84137240400014,2022-07-16T03:21:53.530954,3,2.76433908800027,6,2,True
3,62d22ecf373d811b82ed99cb,1.0,edmund,3.84137240400014,2022-07-16T03:21:54.171088,4,2.76433908800027,6,2,True
0,62d22f36373d811b82ed99e9,0.3571428571428571,contraatacados,2.430432971999835,2022-07-16T03:23:35.492593,1,1.4645657459986978,14,6,True
1,62d22f36373d811b82ed99e9,1.0,hidroelectrica,2.430432971999835,2022-07-16T03:23:36.176042,2,1.4645657459986978,14,6,True
0,62d22fce373d811b82ed9a55,0.5,parecido,3.1474888039992948,2022-07-16T03:26:07.694320,1,1.6372154320015395,8,4,True
1,62d22fce373d811b82ed9a55,1.0,escenico,3.1474888039992948,2022-07-16T03:26:08.536780,2,1.6372154320015395,8,4,True
0,62d22f6b373d811b82ed9a11,0.25,parecido,2.7119575849974358,2022-07-16T03:24:28.313534,1,1.638219610002125,8,4,True
1,62d22f6b373d811b82ed9a11,1.0,trueques,2.7119575849974358,2022-07-16T03:24:29.176987,2,1.638219610002125,8,4,True
0,62d22ffc373d811b82ed9a67,0.1666666666666666,cartas,3.069124285997532,2022-07-16T03:26:52.736955,1,2.026089599999977,6,2,True
1,62d22ffc373d811b82ed9a67,0.5,romper,3.069124285997532,2022-07-16T03:26:53.395139,2,2.026089599999977,6,2,True
2,62d22ffc373d811b82ed9a67,1.0,humber,3.069124285997532,2022-07-16T03:26:54.035250,3,2.026089599999977,6,2,True
0,62d22fc3373d811b82ed9a4b,0.25,parecido,3.340105960000073,2022-07-16T03:25:55.778181,1,2.252301051001268,8,4,True
1,62d22fc3373d811b82ed9a4b,0.875,caminaba,3.340105960000073,2022-07-16T03:25:56.594151,2,2.252301051001268,8,4,True
2,62d22fc3373d811b82ed9a4b,1.0,cambiaba,3.340105960000073,2022-07-16T03:25:57.274358,3,2.252301051001268,8,4,True
0,62d22f3c373d811b82ed99ed,0.4545454545454545,contratados,2.4996610150010383,2022-07-16T03:23:40.830347,1,1.4336818099982338,11,4,True
1,62d22f3c373d811b82ed99ed,1.0,comandantes,2.4996610150010383,2022-07-16T03:23:41.472786,2,1.4336818099982338,11,4,True
0,62d22eb0373d811b82ed99b4,0.3333333333333333,acuciando,3.0705131769973377,2022-07-16T03:21:21.608793,1,1.971739743999933,9,5,True
1,62d22eb0373d811b82ed99b4,0.4444444444444444,sovietica,3.0705131769973377,2022-07-16T03:21:22.232469,2,1.971739743999933,9,5,True
2,62d22eb0373d811b82ed99b4,1.0,ofreciera,3.0705131769973377,2022-07-16T03:21:22.951015,3,1.971739743999933,9,5,True
0,62d22fda373d811b82ed9a5e,0.4285714285714285,antirio,2.49275197300085,2022-07-16T03:26:18.895269,1,1.4364098010009911,7,4,True
1,62d22fda373d811b82ed9a5e,1.0,sitiado,2.49275197300085,2022-07-16T03:26:19.672706,2,1.4364098010009911,7,4,True
0,62d22eb7373d811b82ed99b9,0.6,transmiten,2.4135043940004834,2022-07-16T03:21:28.273692,1,1.3690015020001738,10,3,True
1,62d22eb7373d811b82ed99b9,1.0,transformo,2.4135043940004834,2022-07-16T03:21:29.008938,2,1.3690015020001738,10,3,True
